sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg356_15.fsa,Pg356,TNE_02,TNE,224,0.0034000000000000002,0.0164,0.9776,0.0026000000000000003
883779813_Pg356_16.fsa,Pg356,TNE_02,TNE,225,0.033793241351729654,0.024995000999800038,0.9274145170965807,0.01379724055188962
883779813_Pg356_17.fsa,Pg356,TNE_02,TNE,226,0.009,0.0022,0.9872,0.0016
883779813_Pg356_18.fsa,Pg356,TNE_02,TNE,227,0.0032,0.007399999999999999,0.9865999999999999,0.0028
883779813_Pg356_19.fsa,Pg356,TNE_02,TNE,228,0.0021995600879824036,0.002799440111977605,0.9932013597280543,0.0017996400719856032
883779813_Pg356_20.fsa,Pg356,TNE_02,TNE,229,0.004399999999999999,0.005000000000000001,0.9879999999999999,0.0026000000000000003
883779813_Pg356_21.fsa,Pg356,TNE_02,TNE,230,0.0036007201440288058,0.0036007201440288058,0.9907981596319264,0.002000400080016003
883779813_Pg356_22.fsa,Pg356,TNE_02,TNE,231,0.008198360327934412,0.008798240351929613,0.9804039192161567,0.002599480103979204
883779813_Pg356_23.fsa,Pg356,TNE_02,TNE,232,0.0028,0.0028,0.9924,0.002
883779813_Pg356_24.fsa,Pg356,TNE_02,TNE,233,0.0026000000000000003,0.0022,0.9931999999999999,0.002
883779813_Pg357_01.fsa,Pg357,TNE_01,TNE,234,0.1993601279744051,0.003399320135972806,0.7950409918016397,0.0021995600879824036
883779813_Pg357_02.fsa,Pg357,TNE_01,TNE,235,0.1989591673338671,0.00300240192153723,0.7970376301040832,0.00100080064051241
883779813_Pg357_03.fsa,Pg357,TNE_01,TNE,236,0.20191923230707715,0.0029988004798080768,0.7922830867652939,0.0027988804478208716
883779813_Pg357_04.fsa,Pg357,TNE_01,TNE,237,0.20008003201280514,0.001800720288115246,0.79671868747499,0.0014005602240896359
883779813_Pg357_05.fsa,Pg357,TNE_01,TNE,238,0.20051979208316673,0.0017992802878848463,0.7960815673730508,0.0015993602558976412
883779813_Pg357_06.fsa,Pg357,TNE_01,TNE,239,0.1998399679935987,0.002400480096019204,0.7961592318463693,0.0016003200640128026
883779813_Pg357_07.fsa,Pg357,TNE_01,TNE,240,0.2007197121151539,0.002598960415833667,0.7948820471811276,0.0017992802878848463
883779813_Pg357_08.fsa,Pg357,TNE_01,TNE,241,0.021208483393357343,0.020808323329331732,0.06002400960384155,0.8979591836734694
883779813_Pg357_09.fsa,Pg357,TNE_01,TNE,242,0.20051979208316673,0.0017992802878848463,0.7954818072770893,0.0021991203518592567
883779813_Pg357_10.fsa,Pg357,TNE_01,TNE,243,0.1998799519807923,0.002801120448179272,0.7957182873149259,0.001600640256102441
883779813_Pg357_11.fsa,Pg357,TNE_01,TNE,244,0.2,0.002,0.7966,0.0014
883779813_Pg357_12.fsa,Pg357,TNE_01,TNE,245,0.1992,0.003,0.7964,0.0014
883779813_Pg357_13.fsa,Pg357,TNE_01,TNE,246,0.20047971217269636,0.003198081151309215,0.7943234059564263,0.0019988007195682594
883779813_Pg357_14.fsa,Pg357,TNE_01,TNE,247,0.20051979208316673,0.0017992802878848463,0.7960815673730508,0.0015993602558976412
883779813_Pg357_15.fsa,Pg357,TNE_01,TNE,248,0.19636072785442912,0.0025994801039792045,0.7986402719456108,0.002399520095980804
883779813_Pg357_16.fsa,Pg357,TNE_01,TNE,249,0.20035992801439712,0.0017996400719856032,0.7962407518496301,0.0015996800639872027
883779813_Pg357_17.fsa,Pg357,TNE_01,TNE,250,0.1994797919167667,0.002601040416166467,0.7949179671868748,0.003001200480192077
883779813_Pg357_18.fsa,Pg357,TNE_01,TNE,251,0.20055988802239555,0.002199560087982404,0.7952409518096382,0.0019996000799840036
883779813_Pg357_19.fsa,Pg357,TNE_01,TNE,252,0.19996000799840033,0.002999400119976005,0.7954409118176364,0.0015996800639872027
883779813_Pg357_20.fsa,Pg357,TNE_01,TNE,253,0.2001599680063987,0.001999600079984003,0.7960407918416317,0.0017996400719856032
883779813_Pg357_21.fsa,Pg357,TNE_01,TNE,254,0.2005598880223955,0.001999600079984003,0.7958408318336332,0.0015996800639872027
883779813_Pg357_22.fsa,Pg357,TNE_01,TNE,255,0.1996798719487795,0.0036014405762304917,0.7907162865146058,0.006002400960384154
883779813_Pg357_23.fsa,Pg357,TNE_01,TNE,256,0.19323864772954588,0.004800960192038408,0.8009601920384077,0.0010002000400080016
883779813_Pg357_24.fsa,Pg357,TNE_01,TNE,257,0.20007995202878273,0.0017989206476114335,0.7963222066759944,0.0017989206476114335
883779813_Pg358_01.fsa,Pg358,TNW_04,TNW,258,0.0034000000000000002,0.9894000000000001,0.0036000000000000003,0.0036
883779813_Pg358_02.fsa,Pg358,TNW_04,TNW,259,0.02681072428971589,0.9689875950380151,0.0032012805122048826,0.0010004001600640259
883779813_Pg358_03.fsa,Pg358,TNW_04,TNW,260,0.004599080183963208,0.9870025994801039,0.0061987602479504095,0.002199560087982403
