sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.00100080064051241,0.00100080064051241,0.00200160128102482,0.00100080064051241,0.001601281024819856,0.00200160128102482,0.9851881505204163,0.00100080064051241,0.00100080064051241,0.00100080064051241,0.001200960768614892,0.00200160128102482
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.0020008003201280513,0.0018007202881152463,0.0036014405762304926,0.0036014405762304926,0.007402961184473789,0.011204481792717089,0.0026010404161664665,0.0012004801920768309,0.0010004001600640256,0.7605042016806723,0.003201280512204882,0.20188075230092037
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.0014016820184221065,0.001001201441730076,0.005006007208650381,0.001001201441730076,0.010012014417300761,0.004004805766920304,0.002603123748498198,0.001001201441730076,0.001001201441730076,0.7909491389667601,0.0012014417300760913,0.18081698037645175
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.0178,0.004,0.0102,0.0028000000000000004,0.0032,0.009,0.001,0.0024000000000000002,0.0028,0.7566,0.0032,0.187
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.0043964828137490015,0.0031974420463629096,0.022382094324540365,0.003597122302158273,0.023581135091926456,0.020383693045563547,0.012589928057553955,0.004196642685851319,0.005995203836930455,0.7258193445243805,0.005195843325339728,0.16866506794564348
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.018792483006797287,0.0017992802878848463,0.0033986405437824874,9.996001599360256e-4,0.010795681727309077,0.0035985605757696926,0.01599360255897641,9.996001599360256e-4,0.0035985605757696926,0.7369052379048381,0.0017992802878848463,0.20131947221111554
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.004199160167966408,0.0025994801039792045,0.007798440311937612,9.998000399920016e-4,0.008798240351929613,0.0061987602479504095,0.004999000199960009,0.0015996800639872027,0.00599880023995201,0.7636472705458908,0.0017996400719856032,0.1913617276544691
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.015003000600120027,0.003200640128025605,0.010002000400080016,0.0026005201040208044,0.011402280456091218,0.025205041008201638,0.0034006801360272057,0.00640128025605121,0.0030006001200240046,0.7439487897579516,0.0034006801360272057,0.17243448689737947
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.01321056845476381,0.00200160128102482,0.0022017614091273015,0.014611689351481183,0.00200160128102482,0.00200160128102482,0.00100080064051241,0.0018014411529223382,0.003803042433947158,0.7471977582065653,0.008206565252201762,0.20196156925540432
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.001,0.0034000000000000002,0.0828,0.0036,0.0052,0.0098,0.0018000000000000002,0.010799999999999999,0.0012000000000000001,0.7194,0.004000000000000001,0.157
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.0010004001600640256,0.001800720288115246,0.08043217286914765,0.0010004001600640256,0.007603041216486595,0.0072028811524609835,0.0022008803521408565,0.001800720288115246,0.0010004001600640256,0.7354941976790716,0.003601440576230492,0.1568627450980392
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.0034000000000000002,0.002,0.0021999999999999997,0.001,0.0021999999999999997,0.0076,0.0032,0.0018000000000000002,0.0012000000000000001,0.7792,0.0012000000000000001,0.195
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.001001001001001001,0.0012012012012012014,0.0012012012012012014,0.0012012012012012014,0.0016016016016016017,0.002002002002002002,0.002202202202202202,0.001001001001001001,0.001001001001001001,0.001801801801801802,0.0012012012012012014,0.9845845845845846
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0015993602558976412,0.0013994402239104358,0.001999200319872051,0.0017992802878848463,0.0037984806077568977,0.001999200319872051,0.0021991203518592563,9.996001599360256e-4,0.001199520191923231,0.0017992802878848463,0.001199520191923231,0.9800079968012796
