sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.0024004800960192043,0.2024404880976195,0.19723944788957792,0.003400680136027206,0.0016003200640128028,0.5929185837167434
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.0012004801920768309,0.0020008003201280513,0.9905962384953982,0.002200880352140856,0.0018007202881152463,0.0022008803521408565
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.0016,0.002,0.9892,0.0026000000000000003,0.0018000000000000002,0.0027999999999999995
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.0023995200959808045,0.20055988802239555,0.20395920815836832,0.002599480103979205,0.002199560087982404,0.5882823435312938
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.002399040383846462,0.30647740903638543,0.09316273490603759,0.0035985605757696926,0.0015993602558976412,0.5927628948420631
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.0014005602240896359,0.20008003201280514,0.20048019207683074,0.0014005602240896359,0.0010004001600640256,0.5956382553021208
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.0010002000400080016,0.20004000800160032,0.2024404880976195,0.0014002800560112022,0.0014002800560112022,0.5937187437487498
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.0010004001600640256,0.1996798719487795,0.20188075230092034,0.001800720288115246,0.0010004001600640256,0.5946378551420568
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.0012004801920768309,0.2226890756302521,0.1826730692276911,0.0014005602240896359,0.0020008003201280513,0.5900360144057624
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.00100080064051241,0.20036028823058447,0.200160128102482,0.00100080064051241,0.00100080064051241,0.5964771817453963
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.00100080064051241,0.22938350680544434,0.1733386709367494,0.00100080064051241,0.00100080064051241,0.594275420336269
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.001,0.20099999999999998,0.1998,0.0018000000000000002,0.001,0.5953999999999999
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.0012000000000000001,0.20099999999999998,0.2,0.002,0.001,0.5948
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.00100080064051241,0.20736589271417133,0.19715772618094476,0.00100080064051241,0.00100080064051241,0.5924739791833467
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.002000400080016003,0.19943988797759551,0.20324064812962592,0.0016003200640128026,0.001800360072014403,0.5919183836767353
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.001999200319872051,0.11475409836065575,0.5221911235505797,0.001999200319872051,0.001999200319872051,0.35705717712914836
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.001,0.0796,0.8108000000000001,0.001,0.0018000000000000002,0.10579999999999998
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.001199760047990402,0.001999600079984003,0.9878024395120975,0.003399320135972806,0.0017996400719856032,0.0037992401519696063
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.002,0.11940000000000002,0.5178,0.0024000000000000002,0.0018000000000000002,0.3566
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.0010004001600640256,0.002601040416166467,0.9905962384953982,0.001600640256102441,0.0010004001600640256,0.003201280512204882
883779813_Pg348_21.fsa,Pg348,EX_01,EX-S,55,0.0010002000400080016,0.11962392478495698,0.41428285657131425,0.003200640128025605,0.002800560112022404,0.4590918183636727
883779813_Pg348_22.fsa,Pg348,EX_01,EX-S,56,0.001200960768614892,0.20156124899919933,0.20036028823058447,0.001200960768614892,0.001200960768614892,0.5944755804643714
883779813_Pg348_23.fsa,Pg348,EX_01,EX-S,57,0.015803160632126428,0.20144028805761147,0.19323864772954588,0.002000400080016003,0.001200240048009602,0.5863172634526905
883779813_Pg348_24.fsa,Pg348,EX_01,EX-S,58,0.012199999999999999,0.1998,0.18580000000000002,0.008,0.0112,0.583
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.0168,0.20979999999999993,0.0036000000000000003,0.0018000000000000002,0.005,0.763
