sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.0010012014417300763,0.0010012014417300763,0.0020024028834601526,0.0010012014417300763,0.0010012014417300763,0.0010012014417300763,0.0012014417300760915,0.0020024028834601526,0.9839807769323188,0.0010012014417300763,0.0010012014417300763,0.0018021625951141374,0.0020024028834601526
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.0024024024024024027,0.0012012012012012014,0.002002002002002002,0.002202202202202202,0.002002002002002002,0.001001001001001001,0.002002002002002002,0.5113113113113114,0.4666666666666667,0.001001001001001001,0.0016016016016016017,0.002002002002002002,0.004604604604604604
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.0012012012012012014,0.001001001001001001,0.001001001001001001,0.002002002002002002,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0028028028028028026,0.9835835835835837,0.001001001001001001,0.0012012012012012014,0.0012012012012012014,0.002002002002002002
883779813_Pg348_21.fsa,Pg348,EX_01,EX-S,55,0.005,0.0021999999999999997,0.003,0.002,0.004200000000000001,0.002,0.003,0.6281999999999999,0.34199999999999997,0.001,0.0018000000000000002,0.0026000000000000003,0.003
883779813_Pg348_22.fsa,Pg348,EX_01,EX-S,56,0.0020020020020020024,0.0010010010010010012,0.0010010010010010012,0.0024024024024024027,0.0022022022022022024,0.0010010010010010012,0.0020020020020020024,0.9805805805805806,0.0022022022022022024,0.0010010010010010012,0.0012012012012012014,0.0012012012012012014,0.0022022022022022024
883779813_Pg348_23.fsa,Pg348,EX_01,EX-S,57,0.0027994401119776045,9.998000399920016e-4,9.998000399920016e-4,0.009598080383923216,0.004999000199960009,9.998000399920016e-4,0.002199560087982403,0.952009598080384,0.002199560087982403,0.009598080383923215,0.005798840231953609,0.0015996800639872027,0.0061987602479504095
883779813_Pg348_24.fsa,Pg348,EX_01,EX-S,58,0.002797761790567546,0.005795363709032775,0.004796163069544365,0.0021982414068745003,0.003996802557953637,0.007194244604316548,0.0019984012789768186,0.9512390087929656,0.0021982414068745003,0.005595523581135092,0.003996802557953637,0.004396482813749001,0.0037969624300559558
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.704836131095124,0.004396482813749001,0.0019984012789768186,0.05635491606714629,0.013589128697042369,0.003996802557953637,0.009792166266986412,0.16586730615507594,0.0019984012789768186,0.0209832134292566,0.011390887290167866,0.001598721023181455,0.00319744204636291
883779813_Pg349_02.fsa,Pg349,KY_01,KY,60,0.7658341658341659,0.0031968031968031972,9.990009990009992e-4,0.002797202797202797,0.0035964035964035973,0.002197802197802198,0.01298701298701299,0.18881118881118883,0.0019980019980019984,0.004395604395604396,0.003996003996003997,0.0015984015984015986,0.007592407592407593
883779813_Pg349_03.fsa,Pg349,KY_01,KY,61,0.7775999999999998,0.001,0.0012000000000000001,0.0032,0.0026000000000000003,0.001,0.0024000000000000002,0.194,0.0028,0.0022,0.0024000000000000002,0.003,0.0066
883779813_Pg349_04.fsa,Pg349,KY_01,KY,62,0.7842980172241137,0.001001401962747847,0.001001401962747847,0.002002803925495694,0.002002803925495694,0.001001401962747847,0.0036050470658922497,0.19427198077308233,0.0028039254956939716,0.0012016823552974166,0.0018025235329461248,0.0026036451031444027,0.0024033647105948333
